Airport ID,Latitude,Longitude
GKA,-6.082,145.392
LAE,0,0
MAG,-5.207,145.789
HGU,-5.826,144.296
LAE,-6.57,146.726
POM,-9.443,147.22
RAB,0,0
WWK,-3.584,143.669
N/A,0,0
N/A,0,0
N/A,0,0
UAK,61.161,-45.427
JCH,0,0
N/A,70.739,-22.646
N/A,0,0
N/A,0,0
N/A,0,0
JEG,0,0
N/A,0,0
JFR,0,0
JGR,0,0
GOH,64.191,-51.678
JGO,0,0
JHS,0,0
N/A,0,0
N/A,0,0
JJU,0,0
JAV,69.233,-51.067
N/A,0,0
KUS,65.583,-37.15
N/A,0,0
N/A,0,0
N/A,0,0
JNN,0,0
JNS,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
SFJ,67.017,-50.689
N/A,0,0
JSU,0,0
THU,76.531,-68.703
N/A,0,0
N/A,0,0
N/A,0,0
JUV,0,0
AEY,65.66,-18.072
N/A,0,0
N/A,0,0
EGS,65.283,-14.401
N/A,0,0
GRY,0,0
HFN,64.296,-15.227
HZK,65.952,-17.426
IFJ,66.058,-23.135
KEF,63.985,-22.606
OPA,66.314,-16.461
SAK,0,0
NOR,0,0
PFJ,65.556,-23.965
RFN,0,0
RKV,64.13,-21.941
SIJ,66.133,-18.917
N/A,0,0
N/A,0,0
TEY,0,0
THO,0,0
VEY,63.424,-20.279
VPN,0,0
N/A,0,0
N/A,0,0
YQC,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
YAB,0,0
N/A,0,0
YAL,0,0
YAM,46.485,-84.509
YAV,50.056,-97.032
YAW,44.64,-63.499
YAY,51.392,-56.084
YAZ,49.082,-125.772
N/A,0,0
YBB,68.534,-89.808
YBC,49.132,-68.207
YBG,48.331,-70.996
YBK,64.299,-96.078
YBL,49.951,-125.271
YBR,49.91,-99.952
YBT,0,0
YRF,0,0
YCB,69.108,-105.138
YCD,49.052,-123.87
YCG,49.296,-117.632
YCH,47.008,-65.449
YCL,47.991,-66.331
YCO,67.817,-115.144
YCS,0,0
YCT,52.075,-111.445
YCV,0,0
YCW,49.153,-121.939
N/A,0,0
YCY,70.486,-68.517
YZS,50.332,-115.874
YDA,64.043,-139.128
YDB,61.371,-139.041
YDC,49.468,-120.512
YDF,49.211,-57.391
YDL,58.422,-130.032
YDN,51.101,-100.052
YDQ,55.742,-120.182
N/A,0,0
YED,53.667,-113.467
YEG,53.31,-113.58
YEK,61.094,-94.071
YEN,49.21,-102.966
N/A,0,0
YET,53.579,-116.465
YEU,79.995,-85.813
YEV,68.304,-133.483
YFB,63.756,-68.556
YFC,45.869,-66.532
N/A,48.746,-69.097
N/A,0,0
YFO,54.678,-101.682
YFR,61.181,-113.69
YFS,61.76,-121.237
N/A,0,0
YGK,44.225,-76.597
YGL,53.625,-77.704
YGP,48.775,-64.479
YGQ,49.778,-86.939
YGR,47.425,-61.778
YGT,0,0
YGW,55.283,-77.767
YGX,56.35,-94.7
N/A,0,0
YGZ,0,0
YHB,52.817,-102.311
YHD,49.832,-92.744
N/A,0,0
YHI,70.763,-117.806
YHK,68.636,-95.85
YHM,43.173,-79.935
YHO,0,0
YHU,45.517,-73.417
YHY,60.84,-115.783
YHZ,44.881,-63.509
YIB,48.774,-91.639
YIO,72.683,-77.967
YIV,0,0
N/A,0,0
YJN,45.294,-73.281
YJT,48.544,-58.55
YKA,50.702,-120.442
YKF,43.459,-80.384
YKL,54.805,-66.805
YKY,51.517,-109.181
YKZ,43.862,-79.37
N/A,0,0
YLC,0,0
YLD,47.82,-83.346
YLJ,54.125,-108.523
YLL,53.309,-110.072
N/A,0,0
YLT,82.518,-62.281
YLW,49.956,-119.378
N/A,0,0
YMA,63.617,-135.867
N/A,0,0
YMJ,50.33,-105.559
YMM,56.653,-111.222
YMO,51.291,-80.608
N/A,0,0
YMW,46.274,-75.99
YMX,45.68,-74.039
YNA,50.19,-61.789
YND,45.521,-75.564
N/A,0,0
YNM,49.762,-77.803
N/A,0,0
N/A,0,0
YOC,67.571,-139.839
YOD,54.405,-110.279
YOJ,58.621,-117.165
YOW,45.323,-75.669
YPA,53.214,-105.673
YPE,56.227,-117.447
N/A,0,0
YPG,49.903,-98.275
YPH,0,0
N/A,49.216,-122.71
YPL,51.446,-90.214
YPN,49.836,-64.289
YPQ,44.23,-78.363
YPR,54.286,-130.445
YPY,58.767,-111.117
YQA,44.975,-79.303
YQB,46.788,-71.398
YQF,52.179,-113.893
YQG,42.276,-82.956
YQH,60.118,-128.822
YQK,49.788,-94.363
YQL,49.63,-112.8
YQM,46.112,-64.679
N/A,50.183,-86.696
YQQ,49.711,-124.887
YQR,50.432,-104.666
YQT,48.372,-89.324
YQU,55.18,-118.885
YQV,51.265,-102.462
YQW,52.769,-108.244
YQX,48.937,-54.568
YQY,46.161,-60.048
YQZ,53.026,-122.51
YRB,74.717,-94.969
YRI,47.764,-69.585
YRJ,48.52,-72.266
YRM,52.43,-114.904
YRT,62.811,-92.116
N/A,0,0
N/A,0,0
YSB,46.625,-80.799
YSC,45.438,-71.691
N/A,0,0
YSF,0,0
YSJ,45.316,-65.89
YSK,0,0
YSM,60.022,-111.96
YSR,72.982,-84.614
N/A,0,0
YSU,46.443,-63.831
YSY,71.994,-125.243
N/A,0,0
YTE,64.23,-76.527
YTH,55.801,-97.864
YTL,0,0
YTR,44.119,-77.528
YTS,48.57,-81.377
YTZ,43.627,-79.396
N/A,0,0
YUB,69.433,-133.026
N/A,0,0
YUF,0,0
N/A,0,0
N/A,0,0
N/A,0,0
N/A,0,0
YUL,45.468,-73.741
N/A,0,0
N/A,0,0
N/A,0,0
YUT,66.521,-86.225
YUX,68.776,-81.244
YUY,48.206,-78.836
YVC,55.151,-105.262
YVG,53.356,-110.824
YVM,67.546,-64.031
N/A,0,0
YVO,48.053,-77.783
YVP,58.096,-68.427
YVQ,65.282,-126.8
YVR,49.195,-123.182
YVT,55.842,-108.418
YVV,44.746,-81.107
YWA,45.952,-77.319
YWG,49.91,-97.234
YWK,52.922,-66.864
YWL,52.183,-122.054
N/A,0,0
N/A,0,0
YWY,63.209,-123.437
YXC,49.61,-115.782
YXD,53.573,-113.521
YXE,52.171,-106.7
YXH,50.019,-110.721
N/A,0,0
YXJ,56.238,-120.74
YXL,50.114,-91.904
YXN,0,0
YXP,66.145,-65.714
YXR,47.695,-79.849
YXS,53.889,-122.679
YXT,54.466,-128.577
YXU,43.036,-81.154
YXX,49.025,-122.363
YXY,60.709,-135.068
YYB,46.364,-79.423
YYC,51.114,-114.02
YYD,54.825,-127.183
YYE,58.836,-122.597
YYF,49.463,-119.602
YYG,46.29,-63.121
YYH,69.547,-93.577
YYJ,48.647,-123.426
YYL,56.864,-101.076
YYN,50.292,-107.691
YYQ,58.739,-94.065
YYR,53.319,-60.426
YYT,47.619,-52.752
YYU,49.414,-82.468
YYW,50.29,-88.91
YYY,48.609,-68.208
YYZ,43.677,-79.631
N/A,0,0
YZD,43.742,-79.466
YZE,45.885,-82.568
YZF,62.463,-114.44
YZH,55.293,-114.778
YZP,53.254,-131.814
YZR,42.999,-82.309
YZT,50.681,-127.367
YZU,54.144,-115.787
YZV,50.223,-66.266
YZW,60.173,-132.743
